,date,lme_copper_cash,lme_copper_three_month,lme_copper_stock
1845,24. December 2014,"6,361.00","6,319.50","171,850"
1846,23. December 2014,"6,363.00","6,316.50","172,225"
1847,22. December 2014,"6,426.50","6,382.00","168,700"
1848,19. December 2014,"6,445.50","6,397.00","170,000"
1849,18. December 2014,"6,350.50","6,318.50","170,900"
1850,17. December 2014,"6,306.00","6,270.00","172,200"
1851,16. December 2014,"6,390.00","6,350.50","172,675"
1852,15. December 2014,"6,560.00","6,500.00","167,425"
1853,12. December 2014,"6,526.50","6,480.00","166,500"
1854,11. December 2014,"6,471.50","6,422.00","166,450"
1855,10. December 2014,"6,476.00","6,424.00","166,075"
1856,09. December 2014,"6,401.00","6,355.00","165,850"
1857,08. December 2014,"6,465.50","6,406.00","164,900"
1858,05. December 2014,"6,536.00","6,479.00","163,475"
1859,04. December 2014,"6,491.00","6,435.00","164,025"
1860,03. December 2014,"6,451.00","6,391.00","165,475"
1861,02. December 2014,"6,455.00","6,385.00","166,025"
1862,01. December 2014,"6,385.00","6,313.00","164,800"
1863,28. November 2014,"6,515.50","6,461.00","164,300"
1864,27. November 2014,"6,621.50","6,562.00","161,950"
1865,26. November 2014,"6,649.00","6,590.00","162,125"
1866,25. November 2014,"6,696.00","6,654.00","163,200"
1867,24. November 2014,"6,731.00","6,680.00","161,850"
1868,21. November 2014,"6,790.00","6,725.50","160,825"
1869,20. November 2014,"6,688.00","6,621.00","161,500"
1870,19. November 2014,"6,715.00","6,644.00","160,825"
1871,18. November 2014,"6,684.00","6,617.00","160,425"
1872,17. November 2014,"6,752.00","6,676.00","159,125"
1873,14. November 2014,"6,695.00","6,621.00","159,400"
1874,13. November 2014,"6,755.50","6,695.50","159,950"
1875,12. November 2014,"6,752.50","6,689.00","160,800"
1876,11. November 2014,"6,688.00","6,625.50","162,025"
1877,10. November 2014,"6,735.50","6,676.00","161,900"
1878,07. November 2014,"6,720.50","6,645.00","159,775"
1879,06. November 2014,"6,681.00","6,620.00","160,400"
1880,05. November 2014,"6,646.00","6,584.00","160,350"
1881,04. November 2014,"6,705.50","6,660.50","162,100"
1882,03. November 2014,"6,801.00","6,730.00","162,100"
1883,31. October 2014,"6,835.50","6,770.00","162,600"
1884,30. October 2014,"6,785.00","6,706.00","162,625"
1885,29. October 2014,"6,855.00","6,785.50","162,675"
1886,28. October 2014,"6,859.50","6,800.00","161,050"
1887,27. October 2014,"6,800.50","6,738.00","159,550"
1888,24. October 2014,"6,759.50","6,696.00","159,550"
1889,23. October 2014,"6,718.50","6,668.00","157,500"
1890,22. October 2014,"6,730.50","6,690.00","157,525"
1891,21. October 2014,"6,660.00","6,621.00","157,625"
1892,20. October 2014,"6,615.00","6,570.50","157,725"
1893,17. October 2014,"6,629.00","6,580.00","157,825"
1894,16. October 2014,"6,630.00","6,585.00","157,675"
1895,15. October 2014,"6,781.00","6,746.00","154,650"
1896,14. October 2014,"6,780.50","6,729.00","151,725"
1897,13. October 2014,"6,802.00","6,725.50","151,225"
1898,10. October 2014,"6,697.00","6,640.00","149,650"
1899,09. October 2014,"6,767.00","6,712.50","149,900"
1900,08. October 2014,"6,755.00","6,706.00","149,625"
1901,07. October 2014,"6,715.00","6,682.00","150,050"
1902,06. October 2014,"6,712.50","6,680.00","150,050"
1903,03. October 2014,"6,665.00","6,630.00","150,550"
1904,02. October 2014,"6,693.50","6,652.00","151,375"
1905,01. October 2014,"6,755.00","6,712.00","152,275"
1906,30. September 2014,"6,736.00","6,687.00","152,550"
1907,29. September 2014,"6,735.50","6,694.50","154,100"
1908,26. September 2014,"6,771.00","6,721.00","154,500"
1909,25. September 2014,"6,766.00","6,725.50","155,600"
1910,24. September 2014,"6,750.00","6,715.00","156,100"
1911,23. September 2014,"6,797.00","6,750.00","152,100"
1912,22. September 2014,"6,782.00","6,735.00","153,700"
1913,19. September 2014,"6,868.50","6,827.00","154,375"
1914,18. September 2014,"6,920.00","6,884.00","154,775"
1915,17. September 2014,"6,958.50","6,920.50","155,400"
1916,16. September 2014,"6,895.50","6,857.50","156,325"
1917,15. September 2014,"6,850.00","6,820.50","156,375"
1918,12. September 2014,"6,856.00","6,835.50","156,475"
1919,11. September 2014,"6,829.00","6,803.00","155,775"
1920,10. September 2014,"6,897.50","6,871.00","155,625"
1921,09. September 2014,"6,937.00","6,930.00","154,700"
1922,08. September 2014,"7,040.50","7,030.00","154,600"
1923,05. September 2014,"6,973.00","6,960.00","154,700"
1924,04. September 2014,"6,967.00","6,950.00","154,700"
1925,03. September 2014,"6,927.00","6,905.50","154,825"
1926,02. September 2014,"6,965.50","6,947.00","147,825"
1927,01. September 2014,"6,966.50","6,942.00","148,025"
1928,29. August 2014,"6,995.00","6,971.00","148,150"
1929,28. August 2014,"7,033.00","7,001.00","148,425"
1930,27. August 2014,"7,051.00","7,030.00","147,375"
1931,26. August 2014,"7,096.00","7,070.00","146,225"
1932,22. August 2014,"7,088.00","7,077.00","146,325"
1933,21. August 2014,"7,003.00","6,985.00","146,425"
1934,20. August 2014,"6,922.00","6,905.00","145,200"
1935,19. August 2014,"6,934.50","6,906.00","145,350"
1936,18. August 2014,"6,910.00","6,887.00","141,275"
1937,15. August 2014,"6,852.50","6,845.00","141,300"
1938,14. August 2014,"6,886.50","6,873.00","141,350"
1939,13. August 2014,"6,925.50","6,917.00","141,350"
1940,12. August 2014,"7,025.50","7,010.50","140,675"
1941,11. August 2014,"7,010.50","7,003.00","141,375"
1942,08. August 2014,"7,020.00","7,005.00","142,275"
1943,07. August 2014,"6,980.50","6,971.00","143,700"
1944,06. August 2014,"6,995.00","6,977.00","144,350"
1945,05. August 2014,"7,100.50","7,103.50","145,575"
1946,04. August 2014,"7,104.00","7,096.00","146,175"
1947,01. August 2014,"7,078.00","7,060.00","146,200"
1948,31. July 2014,"7,135.50","7,120.00","146,750"
1949,30. July 2014,"7,090.00","7,065.00","147,925"
1950,29. July 2014,"7,116.00","7,102.50","149,475"
1951,28. July 2014,"7,132.00","7,120.50","150,900"
1952,25. July 2014,"7,183.50","7,180.50","152,600"
1953,24. July 2014,"7,151.00","7,145.00","154,350"
1954,23. July 2014,"7,065.00","7,070.50","156,300"
1955,22. July 2014,"7,060.50","7,065.00","157,125"
1956,21. July 2014,"6,989.50","6,989.00","158,000"
1957,18. July 2014,"7,026.50","7,026.00","157,700"
1958,17. July 2014,"7,030.50","7,041.00","158,575"
1959,16. July 2014,"7,112.00","7,123.00","159,175"
1960,15. July 2014,"7,102.50","7,105.00","159,375"
1961,14. July 2014,"7,154.50","7,140.50","159,400"
1962,11. July 2014,"7,151.00","7,140.00","158,475"
1963,10. July 2014,"7,110.00","7,090.50","158,100"
1964,09. July 2014,"7,173.00","7,156.00","159,075"
1965,08. July 2014,"7,155.00","7,153.00","158,050"
1966,07. July 2014,"7,120.50","7,115.50","159,350"
1967,04. July 2014,"7,159.00","7,151.00","156,500"
1968,03. July 2014,"7,121.00","7,118.00","157,050"
1969,02. July 2014,"7,050.00","7,035.00","156,775"
1970,01. July 2014,"7,015.00","6,995.50","154,700"
1971,30. June 2014,"6,955.00","6,935.00","154,675"
1972,27. June 2014,"6,976.00","6,938.50","155,150"
1973,26. June 2014,"6,936.50","6,911.50","156,000"
1974,25. June 2014,"6,890.50","6,871.00","156,825"
1975,24. June 2014,"6,898.50","6,875.50","157,725"
1976,23. June 2014,"6,901.00","6,880.00","158,575"
1977,20. June 2014,"6,777.50","6,766.00","159,425"
1978,19. June 2014,"6,730.50","6,725.00","160,000"
1979,18. June 2014,"6,739.00","6,737.00","160,675"
1980,17. June 2014,"6,711.00","6,702.00","161,200"
1981,16. June 2014,"6,735.00","6,700.00","162,250"
1982,13. June 2014,"6,671.50","6,642.00","163,700"
1983,12. June 2014,"6,725.00","6,670.00","165,725"
1984,11. June 2014,"6,689.50","6,657.00","166,750"
1985,10. June 2014,"6,695.50","6,670.00","166,825"
1986,09. June 2014,"6,667.50","6,660.00","167,250"
1987,06. June 2014,"6,660.50","6,656.00","167,775"
1988,05. June 2014,"6,800.00","6,771.00","167,925"
1989,04. June 2014,"6,835.00","6,779.00","168,475"
1990,03. June 2014,"6,930.00","6,868.00","168,825"
1991,02. June 2014,"7,003.00","6,923.00","170,825"
1992,30. May 2014,"6,995.50","6,906.00","171,350"
1993,29. May 2014,"6,970.00","6,876.00","172,500"
1994,28. May 2014,"7,035.00","6,945.00","169,825"
1995,27. May 2014,"7,020.00","6,921.00","176,550"
1996,23. May 2014,"6,991.00","6,919.00","175,850"
1997,22. May 2014,"6,945.50","6,870.00","177,350"
1998,21. May 2014,"6,841.00","6,805.00","179,100"
1999,20. May 2014,"6,922.50","6,884.50","180,825"
2000,16. May 2014,"6,950.00","6,877.00","186,525"
2001,15. May 2014,"6,949.00","6,886.00","191,075"
2002,14. May 2014,"6,976.50","6,927.00","197,475"
2003,13. May 2014,"6,884.50","6,844.00","202,975"
2004,12. May 2014,"6,930.00","6,878.00","205,325"
2005,09. May 2014,"6,770.00","6,724.50","208,325"
2006,08. May 2014,"6,690.50","6,659.00","213,025"
2007,07. May 2014,"6,688.00","6,660.00","216,950"
2008,06. May 2014,"6,740.00","6,699.50","225,425"
2009,02. May 2014,"6,699.00","6,666.00","229,800"
2010,01. May 2014,"6,670.50","6,642.00","231,000"
2011,30. April 2014,"6,724.00","6,710.50","233,325"
2012,29. April 2014,"6,770.00","6,750.00","235,075"
2013,28. April 2014,"6,782.00","6,750.50","237,000"
2014,25. April 2014,"6,785.50","6,775.00","238,950"
2015,24. April 2014,"6,731.00","6,720.00","239,950"
2016,23. April 2014,"6,645.00","6,636.00","240,975"
2017,22. April 2014,"6,628.50","6,625.00","241,925"
2018,17. April 2014,"6,631.00","6,632.50","242,300"
2019,16. April 2014,"6,600.00","6,604.00","242,300"
2020,15. April 2014,"6,630.00","6,631.00","242,775"
2021,14. April 2014,"6,645.00","6,635.50","244,950"
2022,11. April 2014,"6,686.00","6,690.50","248,325"
2023,10. April 2014,"6,637.50","6,627.00","250,025"
2024,09. April 2014,"6,630.50","6,626.00","250,775"
2025,08. April 2014,"6,652.00","6,650.00","252,600"
2026,07. April 2014,"6,610.50","6,616.00","254,575"
2027,04. April 2014,"6,677.00","6,681.00","257,775"
2028,03. April 2014,"6,606.00","6,610.50","260,100"
2029,02. April 2014,"6,713.00","6,707.00","261,375"
2030,01. April 2014,"6,632.00","6,629.00","263,250"
2031,31. March 2014,"6,636.00","6,626.00","265,175"
2032,28. March 2014,"6,667.00","6,654.00","267,200"
2033,27. March 2014,"6,581.00","6,570.00","268,550"
2034,26. March 2014,"6,555.00","6,551.00","269,750"
2035,25. March 2014,"6,559.50","6,560.00","266,825"
2036,24. March 2014,"6,510.00","6,503.00","263,675"
2037,21. March 2014,"6,539.50","6,526.00","265,700"
2038,20. March 2014,"6,434.50","6,430.00","267,850"
2039,19. March 2014,"6,446.00","6,435.50","269,725"
2040,18. March 2014,"6,471.50","6,450.50","271,750"
2041,17. March 2014,"6,550.00","6,545.00","253,375"
2042,14. March 2014,"6,490.00","6,467.00","251,300"
2043,13. March 2014,"6,495.00","6,460.50","253,275"
2044,12. March 2014,"6,498.00","6,470.00","255,500"
2045,11. March 2014,"6,720.50","6,689.00","257,600"
2046,10. March 2014,"6,716.00","6,690.50","265,400"
2047,07. March 2014,"6,930.50","6,915.50","269,000"
2048,06. March 2014,"7,054.50","7,035.00","272,175"
2049,05. March 2014,"7,102.50","7,055.00","273,675"
2050,04. March 2014,"7,035.00","6,996.00","275,200"
2051,03. March 2014,"7,032.50","6,962.00","273,725"
2052,28. February 2014,"7,097.50","7,026.00","276,225"
2053,27. February 2014,"7,095.00","7,024.00","274,350"
2054,26. February 2014,"7,149.00","7,076.50","276,400"
2055,25. February 2014,"7,115.00","7,055.00","279,150"
2056,24. February 2014,"7,130.00","7,061.50","282,475"
2057,21. February 2014,"7,211.50","7,151.00","285,350"
2058,20. February 2014,"7,185.00","7,132.00","289,600"
2059,19. February 2014,"7,220.00","7,181.00","290,625"
2060,18. February 2014,"7,205.00","7,171.00","293,150"
2061,17. February 2014,"7,210.00","7,174.00","296,025"
2062,14. February 2014,"7,175.50","7,131.00","299,125"
2063,13. February 2014,"7,157.00","7,118.50","300,675"
2064,12. February 2014,"7,174.50","7,137.00","302,050"
2065,11. February 2014,"7,120.00","7,099.00","303,825"
2066,10. February 2014,"7,190.50","7,144.00","306,400"
2067,07. February 2014,"7,200.00","7,159.00","308,025"
2068,06. February 2014,"7,109.00","7,060.50","309,250"
2069,05. February 2014,"7,096.00","7,060.00","311,225"
2070,04. February 2014,"7,107.00","7,060.00","313,275"
2071,03. February 2014,"7,095.50","7,051.00","313,875"
2072,31. January 2014,"7,091.00","7,062.50","314,525"
2073,30. January 2014,"7,155.00","7,116.00","316,200"
2074,29. January 2014,"7,209.00","7,160.00","318,800"
2075,28. January 2014,"7,215.00","7,172.00","322,575"
2076,27. January 2014,"7,235.00","7,200.00","325,400"
2077,24. January 2014,"7,240.00","7,207.50","326,975"
2078,23. January 2014,"7,285.00","7,258.00","327,400"
2079,22. January 2014,"7,327.00","7,289.50","328,375"
2080,21. January 2014,"7,332.00","7,282.00","330,675"
2081,20. January 2014,"7,340.00","7,310.00","334,550"
2082,17. January 2014,"7,379.50","7,340.00","335,775"
2083,16. January 2014,"7,345.50","7,327.50","336,825"
2084,15. January 2014,"7,309.00","7,291.00","336,250"
2085,14. January 2014,"7,343.00","7,320.00","337,775"
2086,13. January 2014,"7,305.50","7,276.00","340,775"
2087,10. January 2014,"7,283.50","7,258.00","343,875"
2088,09. January 2014,"7,282.00","7,263.50","348,250"
2089,08. January 2014,"7,368.00","7,357.00","351,675"
2090,07. January 2014,"7,354.00","7,335.00","353,075"
2091,06. January 2014,"7,313.50","7,290.50","356,125"
2092,03. January 2014,"7,335.50","7,323.00","359,075"
2093,02. January 2014,"7,439.50","7,422.00","365,700"
2094,31. December 2013,"7,394.50","7,371.00","365,700"
2095,30. December 2013,"7,387.00","7,380.00","367,450"
2096,27. December 2013,"7,375.00","7,365.50","370,950"
2097,24. December 2013,"7,280.00","7,272.00","371,975"
2098,23. December 2013,"7,251.00","7,238.50","379,100"
2099,20. December 2013,"7,264.50","7,245.00","382,550"
2100,19. December 2013,"7,218.50","7,217.00","383,925"
2101,18. December 2013,"7,230.00","7,227.00","384,950"
2102,17. December 2013,"7,286.00","7,272.00","386,550"
2103,16. December 2013,"7,325.50","7,310.00","389,175"
2104,13. December 2013,"7,218.50","7,219.00","393,000"
2105,12. December 2013,"7,230.00","7,214.50","396,075"
2106,11. December 2013,"7,169.50","7,162.00","399,875"
2107,10. December 2013,"7,165.50","7,161.00","402,050"
2108,09. December 2013,"7,141.00","7,145.00","405,275"
2109,06. December 2013,"7,113.00","7,112.00","408,100"
2110,05. December 2013,"7,081.00","7,086.00","411,400"
2111,04. December 2013,"6,975.00","6,975.00","415,425"
2112,03. December 2013,"6,945.00","6,948.50","418,750"
2113,02. December 2013,"7,008.50","7,014.00","420,400"
2114,29. November 2013,"7,027.00","7,030.00","423,825"
2115,28. November 2013,"6,988.00","6,996.00","429,200"
2116,27. November 2013,"7,051.50","7,070.00","431,900"
2117,26. November 2013,"7,071.00","7,075.00","434,850"
2118,25. November 2013,"7,067.50","7,070.00","437,500"
2119,22. November 2013,"7,065.50","7,065.00","439,100"
2120,21. November 2013,"6,992.00","6,994.00","442,125"
2121,20. November 2013,"6,980.00","6,985.00","445,700"
2122,19. November 2013,"6,947.00","6,957.00","447,650"
2123,18. November 2013,"6,999.50","6,996.00","448,950"
2124,15. November 2013,"6,967.50","6,975.50","451,650"
2125,14. November 2013,"6,939.00","6,949.00","455,725"
2126,13. November 2013,"7,021.50","7,030.00","457,475"
2127,12. November 2013,"7,124.00","7,128.50","459,425"
2128,11. November 2013,"7,135.00","7,131.00","462,875"
2129,08. November 2013,"7,125.50","7,127.00","465,650"
2130,07. November 2013,"7,119.00","7,118.00","467,025"
2131,06. November 2013,"7,200.00","7,198.00","468,925"
2132,05. November 2013,"7,138.50","7,155.00","469,975"
2133,04. November 2013,"7,180.00","7,190.50","474,675"
2134,01. November 2013,"7,255.50","7,264.00","476,400"
2135,31. October 2013,"7,234.00","7,241.00","476,150"
2136,30. October 2013,"7,275.50","7,278.00","476,025"
2137,29. October 2013,"7,215.50","7,224.00","476,675"
2138,28. October 2013,"7,161.00","7,177.00","478,200"
2139,25. October 2013,"7,126.00","7,134.50","480,875"
2140,24. October 2013,"7,160.00","7,171.00","485,050"
2141,23. October 2013,"7,200.50","7,215.50","489,400"
2142,22. October 2013,"7,260.00","7,274.00","492,350"
2143,21. October 2013,"7,225.50","7,250.00","494,850"
2144,18. October 2013,"7,241.50","7,270.00","497,500"
2145,17. October 2013,"7,172.00","7,205.00","500,325"
2146,16. October 2013,"7,158.50","7,182.00","502,750"
2147,15. October 2013,"7,186.00","7,215.50","503,425"
2148,14. October 2013,"7,205.50","7,225.50","508,575"
2149,11. October 2013,"7,125.00","7,156.50","509,325"
2150,10. October 2013,"7,112.50","7,142.00","512,450"
2151,09. October 2013,"7,141.00","7,178.50","515,575"
2152,08. October 2013,"7,231.50","7,268.00","517,100"
2153,07. October 2013,"7,171.00","7,204.50","523,425"
2154,04. October 2013,"7,148.00","7,182.00","525,925"
2155,03. October 2013,"7,215.50","7,245.50","529,950"
2156,02. October 2013,"7,156.00","7,182.00","531,875"
2157,01. October 2013,"7,219.00","7,236.00","533,325"
2158,30. September 2013,"7,290.50","7,296.00","538,025"
2159,27. September 2013,"7,252.50","7,275.50","541,125"
2160,26. September 2013,"7,220.50","7,245.00","545,625"
2161,25. September 2013,"7,155.00","7,190.00","547,550"
2162,24. September 2013,"7,140.50","7,173.00","551,050"
2163,23. September 2013,"7,181.00","7,215.50","556,875"
2164,20. September 2013,"7,295.00","7,329.50","562,250"
2165,19. September 2013,"7,301.50","7,330.50","568,575"
2166,18. September 2013,"7,090.50","7,118.00","571,950"
2167,17. September 2013,"7,056.50","7,087.00","574,600"
2168,16. September 2013,"7,050.00","7,085.00","574,675"
2169,13. September 2013,"7,028.50","7,060.00","577,525"
2170,12. September 2013,"7,043.50","7,076.50","579,750"
2171,11. September 2013,"7,163.00","7,192.00","585,275"
2172,10. September 2013,"7,172.00","7,207.00","588,475"
2173,09. September 2013,"7,191.50","7,226.00","594,625"
2174,06. September 2013,"7,170.50","7,200.00","600,275"
2175,05. September 2013,"7,103.00","7,132.00","603,275"
2176,04. September 2013,"7,125.50","7,160.00","603,900"
2177,03. September 2013,"7,183.50","7,215.00","602,850"
2178,02. September 2013,"7,175.50","7,200.00","589,750"
2179,30. August 2013,"7,095.00","7,122.50","588,000"
2180,29. August 2013,"7,210.50","7,241.00","577,675"
2181,28. August 2013,"7,236.00","7,277.00","574,825"
2182,27. August 2013,"7,300.50","7,317.00","576,350"
2183,23. August 2013,"7,300.50","7,331.50","564,225"
2184,22. August 2013,"7,340.50","7,368.00","565,500"
2185,21. August 2013,"7,236.00","7,271.00","566,925"
2186,20. August 2013,"7,265.50","7,300.00","572,525"
2187,19. August 2013,"7,285.50","7,305.50","577,450"
2188,16. August 2013,"7,335.50","7,374.50","584,075"
2189,15. August 2013,"7,228.00","7,248.00","584,200"
2190,14. August 2013,"7,272.50","7,300.00","588,450"
2191,13. August 2013,"7,281.00","7,317.00","589,725"
2192,12. August 2013,"7,246.00","7,275.00","592,950"
2193,09. August 2013,"7,186.00","7,211.00","594,500"
2194,08. August 2013,"7,121.50","7,157.50","597,575"
2195,07. August 2013,"6,892.00","6,920.00","601,600"
2196,06. August 2013,"7,026.50","7,045.00","605,125"
2197,05. August 2013,"6,950.50","6,966.00","606,900"
2198,02. August 2013,"7,019.00","7,031.00","608,675"
2199,01. August 2013,"6,999.00","7,010.00","610,725"
2200,31. July 2013,"6,805.00","6,810.00","612,800"
2201,30. July 2013,"6,752.00","6,775.00","613,550"
2202,29. July 2013,"6,860.50","6,883.00","618,775"
2203,26. July 2013,"6,905.50","6,925.00","621,175"
2204,25. July 2013,"6,927.50","6,950.00","622,950"
2205,24. July 2013,"7,076.50","7,098.00","627,675"
2206,23. July 2013,"6,961.00","6,990.50","632,050"
2207,22. July 2013,"6,980.00","6,990.50","634,650"
2208,19. July 2013,"6,920.00","6,925.00","638,325"
2209,18. July 2013,"6,855.50","6,887.00","640,600"
2210,17. July 2013,"6,924.00","6,940.00","641,225"
2211,16. July 2013,"6,936.50","6,965.00","641,825"
2212,15. July 2013,"6,891.50","6,920.00","637,850"
2213,12. July 2013,"6,923.00","6,940.50","640,775"
2214,11. July 2013,"6,995.50","7,020.00","645,175"
2215,10. July 2013,"6,780.00","6,785.00","646,000"
2216,09. July 2013,"6,719.00","6,728.00","650,125"
2217,08. July 2013,"6,765.00","6,779.00","656,600"
2218,05. July 2013,"6,821.00","6,842.50","660,000"
2219,04. July 2013,"6,920.50","6,926.00","663,175"
2220,03. July 2013,"6,922.00","6,920.50","660,725"
2221,02. July 2013,"6,980.00","6,950.00","659,200"
2222,01. July 2013,"6,917.00","6,919.00","662,275"
2223,28. June 2013,"6,750.50","6,775.50","665,775"
2224,27. June 2013,"6,705.50","6,732.00","667,425"
2225,26. June 2013,"6,685.50","6,715.50","671,100"
2226,25. June 2013,"6,726.50","6,765.50","674,850"
2227,24. June 2013,"6,637.50","6,676.00","678,225"
2228,21. June 2013,"6,777.00","6,806.00","664,850"
2229,20. June 2013,"6,808.00","6,835.50","643,125"
2230,19. June 2013,"6,972.50","7,005.00","638,325"
2231,18. June 2013,"6,970.50","7,010.50","632,150"
2232,17. June 2013,"7,020.50","7,067.00","629,475"
2233,14. June 2013,"7,045.00","7,085.50","618,075"
2234,13. June 2013,"7,057.50","7,093.50","608,300"
2235,12. June 2013,"7,086.00","7,121.00","609,550"
2236,11. June 2013,"7,036.00","7,070.50","609,250"
2237,10. June 2013,"7,120.00","7,155.00","609,000"
2238,07. June 2013,"7,282.00","7,316.00","609,875"
2239,06. June 2013,"7,311.00","7,346.50","610,375"
2240,05. June 2013,"7,421.50","7,460.50","612,300"
2241,04. June 2013,"7,337.50","7,370.50","614,075"
2242,03. June 2013,"7,330.50","7,365.50","617,225"
2243,31. May 2013,"7,241.00","7,270.50","608,450"
2244,30. May 2013,"7,245.50","7,285.50","611,125"
2245,29. May 2013,"7,201.50","7,235.50","613,725"
2246,28. May 2013,"7,257.00","7,299.50","619,650"
2247,24. May 2013,"7,240.00","7,277.00","621,175"
2248,23. May 2013,"7,285.50","7,320.00","623,875"
2249,22. May 2013,"7,480.00","7,510.00","627,275"
2250,21. May 2013,"7,384.00","7,410.00","624,525"
2251,20. May 2013,"7,276.00","7,297.00","628,025"
2252,17. May 2013,"7,329.50","7,350.00","629,950"
2253,16. May 2013,"7,095.50","7,125.50","624,400"
2254,15. May 2013,"7,095.50","7,145.00","627,525"
2255,14. May 2013,"7,195.50","7,225.50","618,700"
2256,13. May 2013,"7,350.50","7,380.00","606,700"
2257,10. May 2013,"7,390.50","7,377.00","604,250"
2258,09. May 2013,"7,311.00","7,336.00","605,750"
2259,08. May 2013,"7,326.00","7,355.00","605,825"
2260,07. May 2013,"7,240.50","7,270.50","604,600"
2261,03. May 2013,"7,122.00","7,151.00","608,700"
2262,02. May 2013,"6,870.50","6,900.00","616,125"
2263,01. May 2013,"6,875.00","6,906.50","618,175"
2264,30. April 2013,"7,073.50","7,105.50","618,600"
2265,29. April 2013,"7,079.00","7,117.00","617,650"
2266,26. April 2013,"7,054.50","7,100.00","619,600"
2267,25. April 2013,"7,035.00","7,055.50","618,475"
2268,24. April 2013,"6,935.50","6,974.00","620,375"
2269,23. April 2013,"6,811.00","6,842.00","621,600"
2270,22. April 2013,"6,875.50","6,916.00","613,075"
2271,19. April 2013,"6,975.00","7,010.00","614,350"
2272,18. April 2013,"6,962.50","6,997.00","612,350"
2273,17. April 2013,"7,067.00","7,091.00","608,525"
2274,16. April 2013,"7,219.00","7,250.50","611,925"
2275,15. April 2013,"7,120.50","7,155.50","611,175"
2276,12. April 2013,"7,510.00","7,545.50","593,650"
2277,11. April 2013,"7,510.00","7,545.00","590,175"
2278,10. April 2013,"7,547.00","7,575.50","587,925"
2279,09. April 2013,"7,485.50","7,516.00","587,550"
2280,08. April 2013,"7,457.50","7,491.00","579,400"
2281,05. April 2013,"7,376.00","7,415.00","579,600"
2282,04. April 2013,"7,336.50","7,375.00","579,175"
2283,03. April 2013,"7,405.50","7,436.50","572,325"
2284,02. April 2013,"7,434.50","7,469.00","571,125"
2285,28. March 2013,"7,582.50","7,613.50","569,775"
2286,27. March 2013,"7,570.00","7,605.00","567,900"
2287,26. March 2013,"7,631.00","7,661.00","566,325"
2288,25. March 2013,"7,602.00","7,640.00","565,350"
2289,22. March 2013,"7,618.00","7,656.00","562,475"
2290,21. March 2013,"7,580.00","7,626.50","557,450"
2291,20. March 2013,"7,574.50","7,605.00","550,825"
2292,19. March 2013,"7,539.00","7,569.00","547,025"
2293,18. March 2013,"7,555.50","7,590.00","543,925"
2294,15. March 2013,"7,782.00","7,811.50","525,825"
2295,14. March 2013,"7,762.00","7,790.50","522,250"
2296,13. March 2013,"7,777.50","7,808.00","520,500"
2297,12. March 2013,"7,815.00","7,840.00","517,900"
2298,11. March 2013,"7,677.00","7,701.50","513,550"
2299,08. March 2013,"7,730.00","7,745.00","509,425"
2300,07. March 2013,"7,671.00","7,710.50","481,225"
2301,06. March 2013,"7,699.50","7,733.50","473,750"
2302,05. March 2013,"7,720.00","7,745.00","472,975"
2303,04. March 2013,"7,751.00","7,742.00","462,400"
2304,01. March 2013,"7,620.50","7,665.00","458,775"
2305,28. February 2013,"7,828.00","7,855.00","446,700"
2306,27. February 2013,"7,831.00","7,864.00","444,350"
2307,26. February 2013,"7,785.00","7,795.00","438,375"
2308,25. February 2013,"7,865.50","7,890.00","430,725"
2309,22. February 2013,"7,825.00","7,849.00","424,350"
2310,21. February 2013,"7,847.50","7,875.00","420,250"
2311,20. February 2013,"8,009.50","8,039.00","412,950"
2312,19. February 2013,"8,070.00","8,107.00","411,250"
2313,18. February 2013,"8,075.50","8,113.00","404,300"
2314,15. February 2013,"8,198.50","8,235.50","401,675"
2315,14. February 2013,"8,197.00","8,235.00","399,125"
2316,13. February 2013,"8,221.00","8,260.50","398,925"
2317,12. February 2013,"8,184.50","8,220.00","399,850"
2318,11. February 2013,"8,216.00","8,258.00","399,775"
2319,08. February 2013,"8,215.00","8,241.00","399,825"
2320,07. February 2013,"8,212.00","8,253.00","388,900"
2321,06. February 2013,"8,200.00","8,230.50","386,500"
2322,05. February 2013,"8,242.50","8,286.00","385,050"
2323,04. February 2013,"8,226.00","8,265.00","374,200"
2324,01. February 2013,"8,160.00","8,190.00","376,000"
2325,31. January 2013,"8,170.00","8,216.00","371,750"
2326,30. January 2013,"8,175.50","8,215.00","371,425"
2327,29. January 2013,"8,010.50","8,046.00","371,750"
2328,28. January 2013,"8,015.00","8,050.00","341,000"
2329,25. January 2013,"8,060.00","8,091.00","342,900"
2330,24. January 2013,"8,036.00","8,076.00","344,850"
2331,23. January 2013,"8,115.50","8,150.00","344,925"
2332,22. January 2013,"8,068.00","8,105.00","342,450"
2333,21. January 2013,"8,020.50","8,051.50","345,525"
2334,18. January 2013,"8,053.00","8,085.00","345,375"
2335,17. January 2013,"7,930.00","7,960.00","345,925"
2336,16. January 2013,"7,910.50","7,940.00","349,275"
2337,15. January 2013,"7,945.00","7,970.50","333,275"
2338,14. January 2013,"8,030.00","8,070.00","329,725"
2339,11. January 2013,"8,071.00","8,090.00","330,450"
2340,10. January 2013,"8,117.00","8,150.00","326,575"
2341,09. January 2013,"8,059.00","8,095.00","329,050"
2342,08. January 2013,"8,050.50","8,085.50","327,375"
